user_id,item_id,rating,timestamp,title,brand,category
A19EEKJ39PA47B,0006551807,5,1377388800,The Namesake,Jhumpa Lahiri,"['Literature & Fiction', 'Contemporary']"
AXJ1QYBUL86ON,0007152531,2,1169337600,The Solace of Leaving Early,Haven Kimmel,"['Literature & Fiction', 'Contemporary']"
AD293KL0N00LH,0007327064,4,1382054400,DEEPLY ODD PB,Dean Koontz,"['Literature & Fiction', 'Genre Fiction']"
A3O9LMY2DTV2B2,0020430906,4,1001721600,Ask Mr. Bear,Marjorie Flack,"[""Children's Books"", 'Animals']"
AEBZVNKHJNJHU,0020519109,5,1038528000,The Old Man and the Sea (A Scribner Classic),Ernest Hemingway,"['Literature &amp; Fiction', 'Classics']"
A24SCQDYI50MWR,0060524235,4,1178409600,Escaping the Delta: Robert Johnson and the Invention of the Blues,Elijah Wald,"['Arts &amp; Photography', 'Music']"
AOKS5JEGN6G,0060591854,3,1329696000,"The History of God CD: The 4,000 Year Quest",Karen Armstrong,"['History', 'World']"
A200FYUVU6GG4P,0060611391,5,966297600,Wishful Thinking: A Seeker's ABC,Frederick Buechner,"['Christian Books &amp; Bibles', 'Bible Study &amp; Reference']"
AIQLACW0D0FS2,0060722282,4,1152662400,The Falls: A Novel,Joyce Carol Oates,"['Literature &amp; Fiction', 'Literary']"
AEBZVNKHJNJHU,006074815X,5,1035849600,Eye of the Needle,Ken Follett,"['Mystery, Thriller &amp; Suspense', 'Thrillers &amp; Suspense']"
A3LKEPMO0PAOI3,0060763957,5,1089936000,Michael Moore Is a Big Fat Stupid White Man,David T. Hardy,"['Politics & Social Sciences', 'Politics & Government']"
A1UARE90SQDKOL,0060838086,4,1248912000,Blueberry Girl,Neil Gaiman,"[""Children's Books"", 'Growing Up &amp; Facts of Life']"
A1UYMYC34CXB42,0060892374,2,1313452800,Full of Grace,Dorothea Benton Frank,"['Literature &amp; Fiction', 'Genre Fiction']"
A1UYMYC34CXB42,0060892382,5,1314489600,The Land of Mango Sunsets: A Novel,Dorothea Benton Frank,"['Literature &amp; Fiction', 'Genre Fiction']"
A2WSWVRUFHBU2C,0060934514,2,1028160000,Angry Blonde,Eminem,"['Arts &amp; Photography', 'Music']"
A25KRCDHNK67JC,0060952539,1,1223596800,Be an Outrageous Older Woman,Ruth H. Jacobs,"['Biographies &amp; Memoirs', 'Specific Groups']"
A3Q83VI243WI7U,0060977574,2,974505600,Beyond Star Trek: From Alien Invasions to the End of Time,Lawrence M. Krauss,"['Religion &amp; Spirituality', 'Occult &amp; Paranormal']"
A1G5R7BCVM5ULQ,0061065714,5,1011312000,"It's a Twin Thing (Two of a Kind, No. 1)",Mary-Kate &amp; Ashley Olsen,"[""Children's Books"", 'Humor']"
A1G5R7BCVM5ULQ,0061075698,5,1002585600,Mary-Kate &amp; Ashley Our Story: Mary-Kate &amp; Ashley Olsen's Official Biography,Mary-Kate & Ashley Olsen,"[""Children's Books"", 'Biographies']"
A1G5R7BCVM5ULQ,006107571X,5,1001808000,Mary-Kate &amp; Ashley 2001 Calendar,Mary-Kate Olsen,['Calendars']
AZVRFM578CX6M,0061553395,4,1355356800,Ghosts Among Us: Uncovering the Truth About the Other Side,James Van Praagh,"['Self-Help', 'Relationships']"
AMXJDVI60YD39,0061998850,5,1093478400,"Darkness, Take My Hand (Patrick Kenzie and Angela Gennaro Series)",Dennis Lehane,"['Mystery, Thriller &amp; Suspense', 'Thrillers &amp; Suspense']"
AMXJDVI60YD39,0061998869,5,1093478400,Sacred: A Novel (Patrick Kenzie and Angela Gennaro Series),Dennis Lehane,"['Mystery, Thriller &amp; Suspense', 'Mystery']"
A2OAKHL0E0A4YQ,0062010964,1,1291075200,"America by Heart : Reflections on Family, Faith, and Flag",Sarah Palin,"['Politics &amp; Social Sciences', 'Politics &amp; Government']"
A1UYMYC34CXB42,0062132520,5,1402012800,The Hurricane Sisters: A Novel,Dorothea Benton Frank,"['Literature & Fiction', 'Genre Fiction']"
A2OAKHL0E0A4YQ,0062292889,1,1387756800,Good Tidings and Great Joy: Protecting the Heart of Christmas,Sarah Palin,"['Christian Books & Bibles', 'Christian Living']"
AC9VA2KAQLSX4,0064407489,5,1151884800,Magic Elizabeth,Norma Kassirer,"[""Children's Books"", 'Literature & Fiction']"
A27C8L6MY19X7R,0070064520,5,1345680000,Aunt Erma's Cope Book: How to Get from Monday to Friday in 12 Days,Erma Bombeck,"['Literature &amp; Fiction', 'History &amp; Criticism']"
A2U82DYFCISWDQ,0099281996,5,1405036800,Salt: A World History,Mark Kurlansky,"['Science &amp; Math', 'Nature &amp; Ecology']"
A3O9LMY2DTV2B2,0099481685,4,1006819200,Skipping Christmas,John Grisham,"['Literature &amp; Fiction', 'Contemporary']"
A200FYUVU6GG4P,0099740915,4,968198400,The Handmaid's Tale (Contemporary Classics),Margaret Eleanor Atwood,"['Literature & Fiction', 'Contemporary']"
A2SXMER38SJTQ5,0131716018,5,1383004800,"Science In Elementary Education: Methods, Concepts And Inquiries",Joseph M. Peters,"['Education &amp; Teaching', 'Schools &amp; Teaching']"
