user_id,item_id,rating,timestamp,title,brand,category
A12W8NRSYR593I,000100039X,5,1359158400,The Prophet,Kahlil Gibran,"['Literature & Fiction', 'Poetry']"
A2W6WXEUAVM3E,000100039X,5,1046304000,The Prophet,Kahlil Gibran,"['Literature & Fiction', 'Poetry']"
A34MZG6QZCHFCO,0002051850,3,1341619200,For Whom the Bell Tolls,ernest hemingway,"['Literature & Fiction', 'Classics']"
AV6QDP8Q0ONK4,0002051850,5,1368316800,For Whom the Bell Tolls,ernest hemingway,"['Literature & Fiction', 'Classics']"
AIIQPI3TRJX2N,0002153211,5,1049673600,A Day in the Life of China,David Cohen,"['History', 'Asia']"
A1VZ0ANWLEAPEB,0002219417,5,1399248000,The Winds of War,Herman Wouk,"['Literature & Fiction', 'Contemporary']"
ANGRYXMUEVCHT,0002226618,5,1062460800,"Flashman and the Redskins: From the Flashman Papers, 1849-50 and 1875-76",George MacDonald Fraser,"['Literature & Fiction', 'Genre Fiction']"
A1R90KXMPXCAP,0002242052,5,996710400,Without Remorse,Tom Clancy,"['Literature & Fiction', 'Genre Fiction']"
A1LBB6NJO9WZEZ,0002242052,5,1204502400,Without Remorse,Tom Clancy,"['Literature & Fiction', 'Genre Fiction']"
A3FEYJ4CXJ8ILY,0002247399,5,1401926400,A Dance with Dragons,George R.R. Martin,"['Science Fiction & Fantasy', 'Fantasy']"
A2H3JYJG679FPS,0002247399,5,1367452800,A Dance with Dragons,George R.R. Martin,"['Science Fiction & Fantasy', 'Fantasy']"
A3TUE4JZMN4HYO,0002247399,2,1360281600,A Dance with Dragons,George R.R. Martin,"['Science Fiction & Fantasy', 'Fantasy']"
A2MGJ995GFJBSE,0002247399,5,1310947200,A Dance with Dragons,George R.R. Martin,"['Science Fiction & Fantasy', 'Fantasy']"
A1Y0HX12MCT6OR,0002247399,3,1378339200,A Dance with Dragons,George R.R. Martin,"['Science Fiction & Fantasy', 'Fantasy']"
A33HQ2C9OTX321,0002247399,3,1324857600,A Dance with Dragons,George R.R. Martin,"['Science Fiction & Fantasy', 'Fantasy']"
A34JOJV93F2RHX,0002247399,3,1313625600,A Dance with Dragons,George R.R. Martin,"['Science Fiction & Fantasy', 'Fantasy']"
A8SGLDOPCFPM3,0002247399,2,1336953600,A Dance with Dragons,George R.R. Martin,"['Science Fiction & Fantasy', 'Fantasy']"
A2ZZ3XBXWETMJ9,0002247399,5,1404864000,A Dance with Dragons,George R.R. Martin,"['Science Fiction & Fantasy', 'Fantasy']"
A2U0YC7ICYGX0F,0002247399,5,1352592000,A Dance with Dragons,George R.R. Martin,"['Science Fiction & Fantasy', 'Fantasy']"
A1DSES64WY3DGM,0002247399,5,1316217600,A Dance with Dragons,George R.R. Martin,"['Science Fiction & Fantasy', 'Fantasy']"
A2YAIK7WVZ8VMK,0002252015,2,1334275200,"Scones, Muffins, and Tea Cakes: Breakfast Breads and Teatime Spreads",Heidi H. Cusick,"['Cookbooks, Food & Wine', 'Baking']"
A3OMMHL1QH9QWM,0002553341,4,1262822400,Roy Rogers: King of the Cowboys,Roy Rogers,"['Biographies & Memoirs', 'Arts & Literature']"
ANGRYXMUEVCHT,0002726874,4,1245542400,Quartered Safe Out Here: A Recollection of the War in Burma,George MacDonald Fraser,"['Biographies &amp; Memoirs', 'Leaders &amp; Notable People']"
A2KF8AO8CMW35X,0002740427,1,1343260800,The Unmasking of Oscar Wilde,Joseph Pearce,"['Biographies &amp; Memoirs', 'Arts &amp; Literature']"
AJX0Q5B0QEP57,0004723023,5,1006041600,Collins Gem Sas Survival Guide,John Wiseman,"['Sports & Outdoors', 'Hiking & Camping']"
A3F0IUQ9AZNH4S,0005235073,4,1370822400,Country &amp; Western Gospel Hymnal Volume One: Large Book,Fred Bock,"['Arts & Photography', 'Music']"
A5BOJX3CM4XV4,000612609X,5,1365811200,The Long Ships,Frans Gunnar Bengtsson,"['Literature &amp; Fiction', 'Genre Fiction']"
A1MUN0M965UR4O,0006161413,4,1377302400,Ice Station Zebra,Alistair MacLean,"['Literature &amp; Fiction', 'Action &amp; Adventure']"
A3RSO2MXIZA9EB,0006369405,5,1129075200,Witness to War: American Doctor in El Salvador,Charles Clements,"['Biographies & Memoirs', 'Professionals & Academics']"
A3SFU4OP9S11IR,0006393195,2,985564800,The Summer Tree (Fionavar Tapestry),Guy Gavriel Kay,"['Science Fiction & Fantasy', 'Fantasy']"
A1VSIAXJ11B2KS,0006470181,2,1243123200,Mr. American (Flashman Papers),George MacDonald Fraser,['Literature & Fiction']
AT2J7H5TRZM8Z,0006476155,2,1035676800,Along Came a Spider,James Patterson,"['Mystery, Thriller & Suspense', 'Mystery']"
AXWEP7NQ7TFTC,000647618X,4,1063497600,Timelike Infinity,Stephen Baxter,"['Science Fiction & Fantasy', 'Science Fiction']"
A2VGCL2TL8GZR9,0006482791,4,1251590400,We Can Build You,Philip K. Dick,"['Science Fiction & Fantasy', 'Science Fiction']"
A2198FZZMTJ38H,0006490603,5,989539200,Titanic,James Cameron,"['Humor & Entertainment', 'Movies']"
A14U40MX3CPO8Q,0006490603,5,984873600,Titanic,James Cameron,"['Humor & Entertainment', 'Movies']"
A2NCSPA53VB4OK,000649885X,5,1234656000,Ship of Magic (Liveship Traders),Robin Hobb,"['Literature & Fiction', 'Genre Fiction']"
A2JM1JW0VZ4MO0,0006499163,4,1303257600,Post Captain,Patrick O'brian,"['Literature & Fiction', 'Genre Fiction']"
A2OA6SU4ASQO66,0006530699,5,1357948800,Raving Fans : Revolutionary Approach to Customer Service (One Minute Manager),Ken Blanchard,"['Business & Money', 'Processes & Infrastructure']"
A91UO8BYQR4I8,0006550436,3,986774400,The Bonesetter's Daughter,Amy Tan,"['Literature & Fiction', 'Contemporary']"
ADKHI1TUGAX4,0006551807,4,1187222400,The Namesake,Jhumpa Lahiri,"['Literature & Fiction', 'Contemporary']"
A3UT41TWD7N0D5,0006917801,5,1045008000,Alfred Hitchcock and The Three Investigators in The Secret of Terror Castle,Robert Arthur,"[""Children's Books"", 'Mysteries &amp; Detectives']"
A77184QJM3PM,0006917801,5,1156032000,Alfred Hitchcock and The Three Investigators in The Secret of Terror Castle,Robert Arthur,"[""Children's Books"", 'Mysteries &amp; Detectives']"
A6A38ESR48ZPK,0006917801,5,963619200,Alfred Hitchcock and The Three Investigators in The Secret of Terror Castle,Robert Arthur,"[""Children's Books"", 'Mysteries &amp; Detectives']"
AB34G6VKP28L,0007102658,3,965347200,The 10th Kingdom,Kathryn Wesley,"['Science Fiction & Fantasy', 'Fantasy']"
A25LFXCQLN267D,0007105088,5,1386547200,The Complete History of Middle-Earth,Christopher Tolkien,"['Science Fiction & Fantasy', 'Science Fiction']"
A2O7FFTDI99MVZ,0007115865,5,1395014400,The Songs of Distant Earth (Voyager Classics),Arthur C. Clarke,"['Science Fiction & Fantasy', 'Science Fiction']"
A1BVKYCRW6W21A,000713472X,4,1106179200,"The Last Party: Britpop, Blair and the Demise of English Rock",John Harris,"['Arts & Photography', 'Music']"
A3A6HRZI3HGKTQ,000713472X,3,1115251200,"The Last Party: Britpop, Blair and the Demise of English Rock",John Harris,"['Arts & Photography', 'Music']"
A11RCIPUAJSML8,0007147295,5,1387324800,The Queen's Fool,Philippa Gregory,"['Literature & Fiction', 'Contemporary']"
A1USQH50ILYFZG,0007148976,5,1101686400,The Witch of Blackbird Pond (Collins Modern Classics),Elizabeth George Speare,['Teen & Young Adult']
AXJ1QYBUL86ON,0007152531,2,1169337600,The Solace of Leaving Early,Haven Kimmel,"['Literature & Fiction', 'Contemporary']"
A1HWWYXTCE69KW,0007157169,4,1024790400,Perelandra (Cosmic Trilogy),C. S. Lewis,['Literature & Fiction']
A6P9HEPEJYM6J,0007157169,5,1000771200,Perelandra (Cosmic Trilogy),C. S. Lewis,['Literature & Fiction']
A2UFZMODTW3XTJ,0007157169,5,1186012800,Perelandra (Cosmic Trilogy),C. S. Lewis,['Literature & Fiction']
A1HWWYXTCE69KW,0007157177,1,1024790400,That Hideous Strength,C S Lewis,"['Literature & Fiction', 'Classics']"
A322AT53WJJ29J,0007157177,5,1156464000,That Hideous Strength,C S Lewis,"['Literature & Fiction', 'Classics']"
A1DY8J2M6XA195,0007157177,5,1354147200,That Hideous Strength,C S Lewis,"['Literature & Fiction', 'Classics']"
A3MBTITH7V1XU6,0007158505,5,1387670400,The Sneetches and Other Stories: Yellow Back Book (Dr Seuss - Yellow Back Book) (Dr. Seuss: Yellow Back Books),Dr. Seuss,"[""Children's Books"", 'Literature & Fiction']"
ABNLTWYTCY7MF,0007166664,5,1366761600,Unlocking the Bible,David Pawson,"['Christian Books & Bibles', 'Bible Study & Reference']"
A3TK72Y8SBG13Z,0007171331,5,1348099200,Mog in the Dark,Judith Kerr,"[""Children's Books"", 'Growing Up & Facts of Life']"
