user_id,item_id,rating,timestamp,title,brand,category
A2S02XWWNNHUIX,1573306894,4,963964800,Tony Bennett - MTV Unplugged: The Video,,"['Pop', 'Oldies', 'Traditional Pop']"
AVSMRPI23DQI2,1858705223,5,1344988800,Apocalyptic Love: UK Fan Pack Edition,Slash,['Rock']
AFK9D6U1HKQER,5558160063,5,1188432000,Comatose,Skillet,['Christian']
A1WMCX4CYZCYXE,5559291986,2,1238544000,Transformed Man,William Shatner,"['Comedy & Spoken Word', 'Spoken Word']"
A1ZYV05OSO4QZK,630025075X,2,1120521600,David Gilmour VHS,Michael Kamen,"['Rock', 'Progressive', 'Progressive Rock']"
A2L9RSH5C5QSCX,6301650662,4,1012694400,Special Bulletin TV-Movie  VHS,Ed Flanders,"['Special Interest', 'Instructional']"
A7GPHNXUK9SCR,6302250056,5,1387584000,Stevie Ray Vaughan - Live at the El Mocambo VHS,Jack Hedley,"['Blues', 'Regional Blues', 'Texas Blues']"
AKX28FGA6L47J,6302250056,5,1092441600,Stevie Ray Vaughan - Live at the El Mocambo VHS,Jack Hedley,"['Blues', 'Regional Blues', 'Texas Blues']"
A3OY68WXYQ4GOF,6302371619,5,999993600,Frank Sinatra - A Man and His Music + Ella + Jobim VHS,,"['Pop', 'Oldies', 'Traditional Pop']"
A3DK1K26XYXXJN,6302626625,4,1274313600,Great Rock N Roll Swindle VHS,Malcolm McLaren,"['Alternative Rock', 'Hardcore & Punk', 'British Punk']"
A3LC5XEVC8W476,6302678536,5,1394582400,Sondheim - A Celebration at Carnegie Hall VHS,Stephen Sondheim,"['Pop', 'Vocal Pop']"
A4G51W9PC7TJL,6302756766,5,1357344000,Paula Abdul: Under my Spell Live VHS,,"['Pop', 'Adult Contemporary']"
A3CIF37R5VT5WP,6303092128,5,987984000,U2 - Zoo TV Live from Sydney VHS,Bono,"['Pop', 'Dance Pop']"
A154IP7K7KUPUV,6303182224,4,998611200,Buns of Steel 3: Buns &amp; More VHS,Tamilee Webb,"['Special Interest', 'Exercise']"
A1XTLPXADYVJ68,6303266762,4,959904000,Dead Can Dance - Toward the Within VHS,Dead Can Dance,"['Alternative Rock', 'Indie & Lo-Fi', 'Dream Pop']"
A2HFA5XA46VRQZ,6303477259,5,1366156800,Pink Floyd - Pulse VHS,David Gilmour,"['Rock', 'Progressive', 'Progressive Rock']"
A2OYVTYAYGFN0Z,6303477259,5,1167868800,Pink Floyd - Pulse VHS,David Gilmour,"['Rock', 'Progressive', 'Progressive Rock']"
A1GVPQK9CFSU8F,6304235682,5,1097452800,Rolling Stones Rock &amp; Roll Circus VHS,Ian Anderson,"['Classic Rock', 'Psychedelic Rock']"
A3EZAIV8G0JAHT,630464938X,5,1404345600,Queen - We Will Rock You,Freddie Mercury,"['Rock', 'Progressive', 'Progressive Rock']"
A38KB16DRKI8QW,6305026009,5,1091664000,Hated VHS,GG Allin,"['Alternative Rock', 'Hardcore & Punk', 'Hardcore']"
A1UKA7HUAQAMY,6305075654,4,950400000,Weird Al Yankovic: The Videos,'Weird Al' Yankovic,"['Comedy & Spoken Word', 'Comedic Music']"
A14T4RYJH1CYDO,6305131147,5,1260057600,The Who - Live at the Isle of Wight Festival 1970,Roger Daltrey,"['Classic Rock', 'Album-Oriented Rock (AOR)']"
A2X9NDJ8P3KPE6,6305159823,5,1395446400,Mannheim Steamroller - Christmas Live,Mannheim Steamroller,"['Holiday & Wedding', 'Christmas']"
A35Q0RBM3YNQNF,6305159823,4,1258761600,Mannheim Steamroller - Christmas Live,Mannheim Steamroller,"['Holiday & Wedding', 'Christmas']"
A3CIF37R5VT5WP,6305166005,5,1007596800,U2 - Popmart VHS,Bono,"['Alternative Rock', 'New Wave & Post-Punk', 'Post-Punk']"
A3J463Z6DMRVT0,6305223378,5,1014681600,Bjork - Live at Shepherd's Bush Empire VHS,,"['Dance & Electronic', 'Electronica']"
A12OTDIWIG841L,6305323615,5,1155945600,Madonna - Ciao Italia: Live from Italy,Madonna,"['Pop', 'Adult Contemporary']"
A2N84VEBTQFDSU,6305338094,4,1092700800,Bad Hair Day VHS,,"['Comedy & Spoken Word', 'Comedic Music']"
AQO4YQHAHXUPJ,6305610444,3,1227916800,Madonna - Video Collection 1993-99,Madonna,"['Pop', 'Adult Contemporary']"
A3L46ZRKNFN0SG,6305624364,5,983318400,Bjork: All Is Full of Love,Bjrk,"['Dance & Electronic', 'Trip-Hop']"
A2J0U1XP6JPL9L,6305669201,5,984355200,My Favorite Broadway: The Leading Ladies,Julie Andrews,"['Broadway & Vocalists', 'Musicals']"
A37N9M2GDX138C,6305772649,5,1350000000,Classic Albums: Steely Dan - Aja,Donald Fagen,"['Classic Rock', 'Album-Oriented Rock (AOR)']"
A2K7OSP6EQ53WF,6305835799,5,1377302400,Blink 182: Urethra Chronicles,Travis Barker,"['Alternative Rock', 'Hardcore & Punk', 'Punk-Pop']"
A2IC3NZN488KWK,B0000000L8,5,1402099200,In My Time,Yanni,"['Rock', 'Progressive', 'Electronic']"
A22U9OGGOTFW85,B00000016K,5,1120348800,Wheels Of Fire,Cream,"['Classic Rock', 'Album-Oriented Rock (AOR)']"
A20NTWL30HBNYE,B00000017A,5,1400976000,Leon Russell,Leon Russell,"['Classic Rock', 'Album-Oriented Rock (AOR)']"
A2WFNZWC8O6O1J,B0000001AE,5,1211673600,Raiders Of The Lost Ark Soundtrack,London Symphony Orchestra,"['Soundtracks', 'Movie Scores']"
A2C84IAQZEZZIM,B0000001QO,5,1130284800,Waiting for Spring,David Benoit,"['Jazz', 'Smooth Jazz']"
A316HU3BAFG0D2,B0000001T0,5,1128384000,Renegade Gentleman,Larry Carlton,"['Jazz', 'Jazz Fusion']"
A2QFB3QX6P2WYO,B0000001V2,5,1396396800,That's Right,George Benson,"['Jazz', 'Smooth Jazz']"
A38TA13FXZC7V0,B00000034U,4,1022371200,More Love Songs,Loudon Wainwright III,"['Folk', 'Contemporary Folk']"
AAQMDSR9B2EDR,B00000036I,5,1391558400,Traveling Through,Dick Curless,"['Country', 'Classic Country', 'Bakersfield Sound']"
AJZIS9MKUF7IB,B0000004CT,5,1401321600,Turn It On! Turn It Up!,Roomful Of Blues,"['Blues', 'Electric Blues']"
A2VSTCKMUB46LL,B0000004QQ,5,1144281600,Third Day,Third Day,"['Christian', 'Pop & Contemporary']"
A4QC76NMWE5OC,B0000004TH,5,1081296000,I'll Lead You Home,Michael W. Smith,"['Christian', 'Pop & Contemporary']"
A38TA13FXZC7V0,B0000004VE,5,937872000,Therapy,Loudon Wainwright III,"['Folk', 'Contemporary Folk']"
AT1GMH2UHYROT,B0000004XN,5,1006819200,Field Of Dreams Soundtrack,James Horner,"['Soundtracks', 'Movie Scores']"
A27AZ2DYXUQTPX,B0000004ZD,5,1251849600,Kool Moe Dee - Greatest Hits,Kool Moe Dee,"['R&B', 'Soul']"
A2DB720I9XRX7K,B0000005EF,5,1291593600,Nog,The Blenders,"['Opera & Classical Vocal', 'Vocal Non-Opera', 'Noels']"
A3IXC749UVCXWF,B0000005L2,5,1326412800,Sunday Morning Coffee,Day Parts (Series),"['Dance & Electronic', 'Electronica']"
A3CWEK9HY2VPDL,B0000005LV,4,1231286400,Fresh Aire 3,Mannheim Steamroller,"['Rock', 'Progressive', 'Electronic']"
A3THSGE4JMQRJC,B0000006J2,5,1322006400,At Last,Gene Harris,"['Jazz', 'Bebop']"
A1L6Q8E1PNMN2G,B0000006VG,5,1303344000,Mozart: Clarinet Concerto / Clarinet Quintet,W.A. Mozart,"['Classical', 'Forms & Genres', 'Concertos']"
A12A08OL0TZY0W,B0000006ZN,5,1400371200,Beyond Chant: Mysteries Of The Renaissance,et al Anonymous (Composer),"['Opera & Classical Vocal', 'Vocal Non-Opera', 'Anthems']"
A1XUL3ALFLV7DN,B00000070H,5,1405036800,Bibbidi Bobbidi Bach: More Favorite Disney Tunes,Donald Fraser,"['Classical', 'Chamber Music']"
A2EY9SKZCKJ3W7,B0000007EU,5,1161993600,Handel: Arias,Lorraine Hunt Lieberson,"['Classical', 'Ballets & Dances', 'Baroque Dance Suites']"
A3IXC749UVCXWF,B000000869,5,1150416000,Winchester Cathedral,New Vaudeville Band,"['Pop', 'Oldies']"
A2LCC0IY15RWG7,B0000008ZK,5,1230076800,Octet and In Person,Johnson/Winding,"['Jazz', 'Bebop']"
ACZ94JB8BFMJ9,B0000009II,5,1384214400,"The Golden Age Of American Rock &amp; Roll, Vol. 4",The Golden Age Of American Rock & Roll (Series),"['Pop', 'Oldies', 'Doo Wop']"
A226HIHIVFUPLL,B0000009NL,5,1133481600,Diamond Dogs,David Bowie,"['Alternative Rock', 'Hardcore & Punk', 'Proto Punk']"
A2VGCL2TL8GZR9,B0000009RF,4,1341705600,Unfinished Music #2: Life With The Lions,Yoko Ono,"['Rock', 'Progressive', 'Progressive Rock']"
A279HF3YE2K8O5,B0000009S1,4,1394064000,Uncle Meat,Frank Zappa,"['Rock', 'Progressive', 'Progressive Rock']"
A8MQW5B5QB3H1,B0000009VB,3,1151798400,A Week In Hawaii: Midnight Rainshower,Week In Hawaii,"['World Music', 'Pacific Islands', 'Hawaii']"
AWMNPNH2LXFGX,B000000B8H,5,1366416000,22 All Time Big Band Favorites,Lawrence Welk,"['World Music', 'Europe', 'Eastern Europe', 'Polka']"
AQO4YQHAHXUPJ,B000000CVG,4,1283299200,"Christmas All-Time Greatest, Vol. 01",Christmas All-Time Greatest Re,"['Pop', 'Oldies', 'Traditional Pop']"
A3RJ0LX5R4CJRY,B000000CVS,5,1325376000,The Nitty Gritty Dirt Band - Greatest Hits,Nitty Gritty Dirt Band,"['Country', 'Americana']"
A2X3M0LWJX96VL,B000000D29,4,1121126400,Osmond Family Christmas,The Osmonds,"['Pop', 'Oldies', 'Bubblegum']"
A2NYR079RDGE7N,B000000D2I,5,1209945600,Joe Tex - Greatest Hits,Joe Tex,"['R&B', 'Soul', 'Southern Soul']"
A2KRFSS4JZNV13,B000000D7G,5,981676800,A Tribute To My Father,Hank Williams Jr.,"['Country', ""Today's Country""]"
A2KRFSS4JZNV13,B000000DAO,5,1024272000,"One Night Stand: Original Classic Hits, Vol.1",Hank Williams Jr.,"['Classic Rock', 'Southern Rock']"
A2KRFSS4JZNV13,B000000DAW,5,989971200,"Habits Old And New: Original Classic Hits, Vol. 5",Hank Williams Jr.,"['Classic Rock', 'Southern Rock']"
A2KRFSS4JZNV13,B000000DB2,5,989971200,"High Notes: Original Classic Hits, Vol. 8",Hank Williams Jr.,"['Classic Rock', 'Southern Rock']"
AZQ4FW0OW5VF4,B000000DCE,5,1098057600,Gene Pitney - Greatest Hits Curb,Gene Pitney,"['Pop', 'Oldies']"
AQO4YQHAHXUPJ,B000000DGC,5,1362096000,"Hallelujah, He Is Born",Sawyer Brown,"['Opera & Classical Vocal', 'Vocal Non-Opera', 'Noels']"
A2KRFSS4JZNV13,B000000DGQ,5,1001030400,God Bless The U.S.A.,Lee Greenwood,"['Country', ""Today's Country""]"
A2ZTB8EDDR8RGW,B000000E93,5,1135641600,Black Balloon,John Renbourn,"['Folk', 'British & Celtic Folk', 'British Folk']"
ADGKZ4RFVAJ8H,B000000EAF,3,985824000,Cruisin 1964 / Various,Cruisin' (Series),"['Pop', 'Oldies', 'Girl Groups']"
A27ZH1AQORJ1L,B000000ECX,5,1007251200,Joan Baez: Rare Live &amp; Classic,Joan Baez,"['Folk', 'Contemporary Folk']"
A3UIR3VAXPNEIU,B000000G3D,5,1283472000,Bagdad Cafe,Bob Telson,"['Soundtracks', 'Movie Scores']"
A3BEQRW4Z93GP0,B000000HO0,5,1075507200,Shahen-Shah,Nusrat Fateh Ali Khan,"['World Music', 'Far East & Asia']"
AFHX0CITLH3BB,B000000IAE,3,1023408000,Calypso - Is Like So...,Robert Mitchum,"['World Music', 'Caribbean & Cuba', 'Calypso']"
A1XNXHTPQRACRO,B000000IR7,4,1032825600,Crime of Century,Supertramp,"['Rock', 'Progressive', 'Progressive Rock']"
AZQ7O73EAS3VI,B000000IVW,5,1197072000,Appetite for Destruction,Guns N' Roses,"['Classic Rock', 'Album-Oriented Rock (AOR)']"
A3EIZI23F1Z6MP,B000000IVW,5,1215475200,Appetite for Destruction,Guns N' Roses,"['Classic Rock', 'Album-Oriented Rock (AOR)']"
A1MAQQXJZTMSKT,B000000IVW,5,1301616000,Appetite for Destruction,Guns N' Roses,"['Classic Rock', 'Album-Oriented Rock (AOR)']"
A3QGRSZ7VTV0SY,B000000KST,5,967075200,Soul of Israel,101 Strings Orchestra,"['World Music', 'Middle East', 'Israel']"
A2YQI7AJYC49AT,B000000NGD,5,1197072000,Chiaroscuro,Darol Anger & Mike Marshall,"['Country', 'Bluegrass']"
A68QXK0H88J4I,B000000NGF,5,1309737600,Unusual Weather,Michael Manring,"['Jazz', 'Jazz Fusion']"
