user_id,item_id,rating,timestamp,title,brand,category
ANGRYXMUEVCHT,0002226618,5,1062460800,"Flashman and the Redskins: From the Flashman Papers, 1849-50 and 1875-76",George MacDonald Fraser,"['Literature & Fiction', 'Genre Fiction']"
A2U0YC7ICYGX0F,0002247399,5,1352592000,A Dance with Dragons,George R.R. Martin,"['Science Fiction & Fantasy', 'Fantasy']"
ANGRYXMUEVCHT,0002726874,4,1245542400,Quartered Safe Out Here: A Recollection of the War in Burma,George MacDonald Fraser,"['Biographies &amp; Memoirs', 'Leaders &amp; Notable People']"
ATL5B2A5OB6KO,0007259883,5,1388448000,Gordon Ramsay's Playing with Fire,Gordon Ramsay,"['Cookbooks, Food & Wine', 'Cooking Education & Reference']"
A21P5MI0892X9N,0007444117,5,1389398400,Allegiant,Veronica Roth,"['Science Fiction & Fantasy', 'Science Fiction']"
AQ7V1UO19U1N9,0007447868,5,1140912000,A Feast for Crows,George R. R. Martin,"['Science Fiction & Fantasy', 'Fantasy']"
A335QXPTV1RIV1,0028609883,1,1126569600,California Pizza Kitchen Cookbook,Rick Rosenfield,"['Cookbooks, Food &amp; Wine', 'Regional &amp; International']"
A3CD5AJ49M308T,0028610105,5,1188691200,How To Cook Everything: Simple Recipes for Great Food,Mark Bittman,"['Cookbooks, Food & Wine', 'Cooking Education & Reference']"
AV4GSTTTCIT05,0028741013,1,1122508800,Darwin's Black Box: The Biochemical Challenge to Evolution,Michael J. Behe,"['Science &amp; Math', 'Biological Sciences']"
ACTEKUQIV8SKE,0029146739,5,1164499200,The Bell Curve: Intelligence and Class Structure in American Life,Richard Herrnstein,"['New, Used &amp; Rental Textbooks', 'Social Sciences']"
AMKX0MD1DUOPG,0029146739,5,1231804800,The Bell Curve: Intelligence and Class Structure in American Life,Richard Herrnstein,"['New, Used &amp; Rental Textbooks', 'Social Sciences']"
A2QHCXMFJPEIS1,0060085495,5,1171843200,Island (Perennial Classics),Aldous Huxley,"['Science Fiction &amp; Fantasy', 'Science Fiction']"
A2309WN97HZZ6N,0060174072,4,1019174400,Mitz: The Marmoset Of Bloomsbury,Sigrid Nunez,"['Literature &amp; Fiction', 'Genre Fiction']"
A175NI2QLPFRGA,0060177209,5,1190332800,Dolly: My Life and Other Unfinished Business,Dolly Parton,"['Biographies &amp; Memoirs', 'Arts &amp; Literature']"
AYZG6B6IZFDXW,0060192216,5,991785600,Vegetables Every Day: The Definitive Guide to Buying and Cooking Today's Produce With More Than 350 Recipes,Jack Bishop,"['Cookbooks, Food &amp; Wine', 'Cooking by Ingredient']"
A309RPK3YWYV9Y,0060247517,5,1030147200,"Big Max (An I Can Read Book, Level 2)",Kin Platt,"[""Children's Books"", 'Literature & Fiction']"
A3CM1CDUSWYDIO,0060392452,4,1048723200,Stupid White Men ...And Other Sorry Excuses for the State of the Nation!,Michael Moore,"['Politics & Social Sciences', 'Politics & Government']"
AMKX0MD1DUOPG,0060392452,5,1064016000,Stupid White Men ...And Other Sorry Excuses for the State of the Nation!,Michael Moore,"['Politics & Social Sciences', 'Politics & Government']"
A3FTI86WAVJOLG,0060392827,3,945216000,Confessions of an Ugly Stepsister,Gregory Maguire,"['Literature &amp; Fiction', 'Genre Fiction']"
A3NY5JFGYCD6JB,0060393319,2,1072742400,How to Overthrow the Government,Arianna Huffington,"['Politics &amp; Social Sciences', 'Politics &amp; Government']"
A3CM1CDUSWYDIO,0060512180,1,1050537600,The Beauty Myth: How Images of Beauty Are Used Against Women,Naomi Wolf,"['Politics &amp; Social Sciences', 'Social Sciences']"
A1RKJS2JA5VD0Z,0060512741,2,958435200,The Lathe of Heaven: A Novel (Perennial Classics),Ursula K. Le Guin,"['Literature & Fiction', 'Contemporary']"
A2MJHJ3VYTS7V8,0060516054,5,1029628800,What Went Wrong?: The Clash Between Islam and Modernity in the Middle East,Bernard Lewis,"['New, Used &amp; Rental Textbooks', 'Humanities']"
A2MJHJ3VYTS7V8,0060520841,3,1030406400,Bias: A CBS Insider Exposes How the Media Distort the News,Bernard Goldberg,"['Business & Money', 'Industries']"
ANGRYXMUEVCHT,0060554789,4,1093910400,Handsome Harry: A Novel,James Carlos Blake,"['Literature & Fiction', 'Genre Fiction']"
AOT44IZYPSZSH,0060558121,5,1355702400,American Gods,Neil Gaiman,"['Literature &amp; Fiction', 'Action &amp; Adventure']"
A14QJDH2XH0VDD,006056850X,5,1325289600,Too Much of a Good Thing (The Reverend Curtis Black Series),Kimberla Lawson Roby,"['Literature &amp; Fiction', ""Women's Fiction""]"
A31ZVXSLVHLLCN,0060582553,4,1135036800,Burglars Can't Be Choosers (Bernie Rhodenbarr),Lawrence Block,"['Literature &amp; Fiction', 'Contemporary']"
