user_id,item_id,rating,timestamp,title,brand,category
A3IJ53BN7B4URW,1573300411,1,1283644800,Ozzy Osbourne - Live &amp; Loud,,"['World Music', 'Europe', 'British Isles', 'Britain']"
A1RJGDN1AD2PNO,5558160063,5,1194912000,Comatose,Skillet,['Christian']
A1WB3MLM48TWTW,5558160063,4,1356307200,Comatose,Skillet,['Christian']
A33R5P618X7MG7,630025075X,2,1193184000,David Gilmour VHS,Michael Kamen,"['Rock', 'Progressive', 'Progressive Rock']"
A28K9OS5M9D9TL,630025075X,4,1065139200,David Gilmour VHS,Michael Kamen,"['Rock', 'Progressive', 'Progressive Rock']"
A1ADGDZFUKW0TJ,6301650662,5,1183766400,Special Bulletin TV-Movie  VHS,Ed Flanders,"['Special Interest', 'Instructional']"
A10M2298X1LFP6,6301846052,5,1398211200,The Wall-Live in Berlin VHS,Bryan Adams,"['Rock', 'Progressive', 'Progressive Rock']"
AANG87SKNL3T7,6302250056,5,1067990400,Stevie Ray Vaughan - Live at the El Mocambo VHS,Jack Hedley,"['Blues', 'Regional Blues', 'Texas Blues']"
A20QG4DUFTBVAK,6302482402,4,1395705600,Ziggy Stardust &amp; The Spiders From Mars - The Motion Picture VHS,David Bowie,"['Alternative Rock', 'Hardcore & Punk', 'Proto Punk']"
A314KKDIJWCNMV,6302714222,4,1358899200,Night at Red Rocks VHS,The Moody Blues,"['Rock', 'Progressive', 'Progressive Rock']"
A2IIJF3YW27O84,6303477259,5,1233100800,Pink Floyd - Pulse VHS,David Gilmour,"['Rock', 'Progressive', 'Progressive Rock']"
A314KKDIJWCNMV,6303477259,5,1357689600,Pink Floyd - Pulse VHS,David Gilmour,"['Rock', 'Progressive', 'Progressive Rock']"
A10M2298X1LFP6,6303477259,5,1395273600,Pink Floyd - Pulse VHS,David Gilmour,"['Rock', 'Progressive', 'Progressive Rock']"
A1ADGDZFUKW0TJ,6305089949,5,1317600000,Live in Europe,Jim Morrison,"['Alternative Rock', 'Hardcore & Punk', 'Proto Punk']"
AASZHOEVN5LZH,6305297843,3,993427200,Sarah McLachlan: Video Collection 1989-1998,Luke Doucet,"['Pop', 'Adult Alternative']"
A1EV6BI2H9FRCZ,6305323615,4,1041206400,Madonna - Ciao Italia: Live from Italy,Madonna,"['Pop', 'Adult Contemporary']"
A1D2OXM7FBIT5K,6305610444,5,938217600,Madonna - Video Collection 1993-99,Madonna,"['Pop', 'Adult Contemporary']"
A3N6V3L1XFOB6B,6305747105,3,1392422400,Christina Aguilera - Genie Gets Her Wish,Christina Aguilera,"['Pop', 'Adult Contemporary']"
AASZHOEVN5LZH,6305772665,3,976752000,Classic Albums - U2: The Joshua Tree,Bono,"['Alternative Rock', 'New Wave & Post-Punk', 'Post-Punk']"
AZ0T3JFXJMSPK,B0000000K8,4,952732800,Melrose,Tangerine Dream,"['Rock', 'Progressive', 'Progressive Rock']"
A1878O39ZKG24F,B0000000L8,4,1370995200,In My Time,Yanni,"['Rock', 'Progressive', 'Electronic']"
A356HBGSVZ5NRH,B0000001AE,5,1016928000,Raiders Of The Lost Ark Soundtrack,London Symphony Orchestra,"['Soundtracks', 'Movie Scores']"
A1DSRM2P0WGQNS,B0000004YL,4,987984000,Fu-Don't Take It Personal,Fu-Schnickens,"['Rap & Hip-Hop', 'Pop Rap']"
A3Q80Q6YFP5W6Q,B0000005MV,5,1007424000,A Fresh Aire Christmas,Mannheim Steamroller,"['Rock', 'Progressive', 'Electronic']"
A19RSARP0VV070,B000000615,5,1032739200,Hand of Kindness,Richard Thompson,"['Folk', 'British & Celtic Folk', 'British Folk']"
A1V70OO5JGSBH6,B0000006E3,5,1374624000,Heat Wave,Carmen McRae,"['World Music', 'Caribbean & Cuba', 'Cuba']"
A94348BG2Q6FW,B0000006LI,4,1053388800,Do You Miss New York?,Rosemary Clooney,"['Pop', 'Oldies', 'Traditional Pop']"
A1ST0TUZNHYRF4,B0000007FL,5,995846400,Part: De Profundis,Arvo Part,"['Opera & Classical Vocal', 'Vocal Non-Opera', 'Anthems']"
A1DMIHKCSKBFUV,B0000007ZJ,5,1117152000,"Seekers of the Truth: The Complete Piano Music of Georges I. Gurdjieff and Thomas de Hartmann, Volume One",Cecil Lytle,"['Classical', 'Sacred & Religious']"
AYI4NRMWQTXP7,B0000008BM,5,1306454400,Surfin' With The Astronauts/Everything Is A-OK! 2-on,Astronauts,"['Rock', 'Oldies & Retro', 'Surf Rock']"
A3BFEEL2F7O5XB,B0000009C8,3,1316390400,Osho Kundalini Meditation,Osho,"['Dance & Electronic', 'Ambient']"
A2PBKFCD7YI23H,B0000009NL,5,960336000,Diamond Dogs,David Bowie,"['Alternative Rock', 'Hardcore & Punk', 'Proto Punk']"
AYX6JRUCMNCUW,B0000009RE,1,1244073600,Unfinished Music 1: Two Virgins,Yoko Ono,"['Rock', 'Progressive', 'Progressive Rock']"
A33R4E8T9KVLOM,B0000009SG,5,1185321600,Over-Nite Sensation,Frank Zappa,"['Rock', 'Progressive', 'Progressive Rock']"
A3D7QNGPZ6DHKP,B0000009UI,5,963792000,Changesbowie,David Bowie,"['Alternative Rock', 'Hardcore & Punk', 'Proto Punk']"
A1PXKFBJU16UBU,B000000A04,5,996710400,Alone &amp; Acoustic,Junior Wells,"['Blues', 'Regional Blues', 'Chicago Blues']"
A6VPIOPMDJ8H7,B000000EC3,4,971136000,The Essential Perrey &amp; Kingsley,Perrey & Kingsley,"['Dance & Electronic', 'Electronica']"
A1TVO8X63ZBFVI,B000000EMU,4,1365552000,And Stood There Amazed,Ian Tyson,"['Country', ""Today's Country""]"
A30MJ58Z3C402T,B000000F3S,5,1189900800,One Beautiful Day,Front Range,"['Christian', 'Country & Bluegrass']"
A19RSARP0VV070,B000000G87,5,1017964800,Roots of Robert Johnson,ROOTS OF ROBERT JOHNSON / VARIOUS,"['Blues', 'Regional Blues', 'Delta Blues']"
A3BCK6EDQ76GZK,B000000H7Y,3,1200441600,Motorhead,Motrhead,"['Alternative Rock', 'New Wave & Post-Punk', 'New Wave']"
A2ZI9EWWZTNUA2,B000000HRS,5,1085270400,Product,Brand X,"['Rock', 'Progressive', 'Progressive Rock']"
A3ITF6QNR581AR,B000000HZ7,5,970444800,Fish Rising,Steve Hillage,"['Rock', 'Progressive', 'Progressive Rock']"
A358F8YS3482QT,B000000HZG,5,1086739200,Secondhand Daylight,Magazine,"['Alternative Rock', 'New Wave & Post-Punk', 'New Wave']"
A3599ADYHACWJZ,B000000IW5,5,1335052800,Living In The Past,Jethro Tull,"['Rock', 'Progressive', 'Progressive Rock']"
A1EXJJQMOWNAUY,B000000LX5,5,965347200,A Woman's Heart,A Woman's Heart (series),"['World Music', 'Europe', 'British Isles', 'Ireland']"
A3C80FQHIGOHSL,B000000LYP,5,1133913600,Nervous Breakdown,Black Flag,"['Alternative Rock', 'Hardcore & Punk', 'American Punk']"
A1ZC3FAD1EFZJ7,B000000NHX,5,1202947200,Windham Hill: The First Ten Years,Various Artists,"['Folk', 'British & Celtic Folk', 'Celtic Folk']"
A1AISXQHQRFH6B,B000000PM4,5,960508800,Meet the Residents,Residents,"['Alternative Rock', 'Hardcore & Punk', 'Punk']"
A39B167PVMXUW3,B000000POD,5,1219449600,Migration,Peter Kater,"['World Music', 'North America', 'Native American']"
A1OC7TVP5ZUB19,B000000QOD,5,1381708800,Best of Dorothy Love Coates,Dorothy Love Coates,"['Gospel', 'Urban & Contemporary']"
AEKJTREHL41OE,B000000SNL,5,1131840000,Sing We Christmas,Chanticleer,"['Opera & Classical Vocal', 'Vocal Non-Opera', 'Anthems']"
A2JGD65DRNR75N,B000000URI,4,1290816000,Golden Hits,Mantovani Orchestra,"['Pop', 'Easy Listening']"
A1RJGDN1AD2PNO,B000000UYF,5,1043366400,Take Me to Your Leader,Newsboys,"['Christian', 'Pop & Contemporary']"
A3VY5UA24EZT72,B000000V0I,5,1043625600,Jesus Freak,dc Talk,"['Christian', 'Pop & Contemporary']"
A19RSARP0VV070,B000000W5N,5,962582400,Sticky Fingers,The Rolling Stones,"['Classic Rock', 'Album-Oriented Rock (AOR)']"
A28DNJJ11VXFDW,B000000WA2,4,1260057600,The Great Escape,Blur,"['Alternative Rock', 'British Alternative', 'Britpop']"
AHBUDOLKOWTH9,B000000WA7,3,1097798400,Let's Dance,David Bowie,"['Alternative Rock', 'New Wave & Post-Punk']"
A1K97ODJIC641B,B000000WC1,5,1348012800,"Enigma 3: Le Roi Est Mort, Vive Le Roi!",Enigma,"['Dance & Electronic', 'World Dance']"
A28DNJJ11VXFDW,B000000WDA,4,1256083200,Blur,Blur,"['Alternative Rock', 'British Alternative', 'Britpop']"
A2G7BA1ZNBXC75,B000000WE5,5,960249600,The Fifth Element,Eric Serra,"['Soundtracks', 'Movie Scores']"
A3UGHNEHEVSFPT,B000000XDD,5,1262908800,The Original Hits,Sylvester,"['Dance & Electronic', 'Disco']"
A3PU2TKU7QXF3E,B000000XMR,5,1215993600,The Best of Joe Pass,Joe Pass,"['Jazz', 'Bebop']"
A33R4E8T9KVLOM,B000000YIS,5,1245801600,Art Pepper Meets the Rhythm Section,Art Pepper,"['Jazz', 'Bebop']"
A1AISXQHQRFH6B,B000000YIS,5,960422400,Art Pepper Meets the Rhythm Section,Art Pepper,"['Jazz', 'Bebop']"
A2FIC20PQ850LO,B000000ZKN,5,1392768000,Wednesday Night In San Francisco,Albert King,"['Blues', 'Regional Blues', 'Chicago Blues']"
AVP86FDB2EYNZ,B0000010HE,5,1325376000,Iou,Freeez,"['Dance & Electronic', 'Disco']"
A1F30TCI3ZVI7K,B0000011N5,5,1184716800,A Gift From A Flower To A Garden,Donovan,"['Folk', 'British & Celtic Folk', 'British Folk']"
A18ESJNBTSGO4S,B00000136N,4,1362787200,Once In A Red Moon,Joanne Shenandoah,"['World Music', 'North America', 'Native American']"
A39B167PVMXUW3,B00000138R,4,1162684800,Island Of Bows,R. Carlos Nakai,"['World Music', 'North America', 'Native American']"
A7LRGS80JWSK2,B0000013G9,5,1318723200,CrazySexyCool,TLC,"['Dance & Electronic', 'Electronica']"
AQCR1NGWG6662,B0000013GT,5,1123632000,"<span id=""parentalAdvisory"" class=""a-size-medium a-color-secondary a-text-normal""",Outkast,"['Rap & Hip-Hop', 'Experimental Rap']"
A2TBAUW2W7J538,B0000013J4,4,1209772800,"Beethoven: Piano Sonatas 8, 14 &amp; 23",Ludwig van Beethoven,"['Classical', 'Forms & Genres', 'Sonatas', 'Sonatinas']"
A1BNB2HJ2MBHF5,B0000013XL,4,1404604800,Goldmark: Rustic Wedding Symphony / In the Spring,Karl Goldmark,"['Classical', 'Forms & Genres', 'Theatrical, Incidental & Program Music', 'Tone Poems']"
A3204SERR7CRFN,B00000140Q,3,1359849600,Saint-Sa&euml;ns: Piano Trios 1 &amp; 2,Camille Saint-Sans,"['Classical', 'Chamber Music']"
A3BFEEL2F7O5XB,B00000144X,4,1311379200,On the Way to Bethlehem: Music of Medieval Pilgrim,Ensemble Unicorn,"['Opera & Classical Vocal', 'Vocal Non-Opera', 'Noels']"
A2R6EONWUV2QWP,B000001476,1,1328918400,Perti: Lamentations / Liturgy For Good Friday,Sergio Vartolo,"['Classical', 'Sacred & Religious']"
AWAQ36MK6VELE,B00000148K,5,1341360000,Piano Works 9,BRAHMS,['Classical']
A31L2PK9MLQ7WG,B0000014KJ,5,1205539200,Fate in a Pleasant Mood / When Sun Comes Out,Sun Ra,"['Jazz', 'Swing Jazz', 'Contemporary Big Band']"
A325O0Z61KUDAO,B0000014R7,2,954028800,The Abyss,Alan Silvestri,"['Soundtracks', 'Movie Scores']"
A39B167PVMXUW3,B0000014SM,5,1392940800,Medicine Man Soundtrack,Jerry Goldsmith,"['Soundtracks', 'Movie Soundtracks']"
A325O0Z61KUDAO,B0000014SR,5,957312000,Basic Instinct Soundtrack,National Philharmonic Orchestra,"['Soundtracks', 'Movie Scores']"
AYI4NRMWQTXP7,B0000014W9,5,1306454400,Teen Suite Best of 1958-1962,Jan & Dean,"['Pop', 'Oldies', 'Doo Wop']"
AE2SDFQQCDLED,B0000014X1,5,1358035200,While You Were Sleeping Score,Randy Edelman,"['Soundtracks', 'Movie Scores']"
